tweet_id,label,tweet_text
1.36034e+18,1,4000 day dying called covid19 vaccine dailybeast reports vaccine pfizervaccine moderna
1.3829e+18,2,pranam message today manifested dhyan meenapranam truth love karm light nature consciousness fridaythoughts fridaymorning coronavirusindia covid19india navratri thane ambedkarjayanti2021 modiji narendramodi secondcovidwave covaxin
1.37567e+18,2,hyderabadbased bharatbiotech sought funds government ramp production indigenously developed covid19 vaccine covaxin company written dbtindia seeking rs 100 crore ramp
1.38131e+18,1,confirmation chinese vaccines dont high protection rates according director china centers disease control gao fu sinovac effectiveness found low 504 researchers brazil lt50 useful
1.36217e+18,3,lab studies suggest pfizer moderna vaccines protect coronavirusvariant
1.35129e+18,1,still want take jab pfizerbiontech sideeffects 13 israelis suffer facial paralysis taking pfizer covid jab amid influx reports detailing adverse effects
1.37733e+18,2,time aerolíneas flight ar1068 goes moscow pick sputnikv vaccines 11 flights buenos aires argentina moscow russia follow flight ar1068 radarbox aerolíneasargentinas vaccines radarbox
1.36334e+18,3,covaxin effective mutant virus strains icmr thanks dr swamy39 jee amp health minister dr harsh vardhan jee promoting indias first indigenous covid vaccine bharat biotech 
1.37258e+18,3,safe effective oxfordastrazeneca
1.36751e+18,2,day moderna covid19vaccine arm little sore little fatigued usual grandparents noticeable effects though
1.38084e+18,3,sydm39 girl part moderna club
1.38454e+18,2,get moderna pfitzer vaccine india narendramodi mohfwindia
1.38156e+18,2,cameroon receives 200 000 doses sinopharm covid19 vaccine cameroon sinopharm vaccines covid19
1.38284e+18,2,india 216850 new cases coronavirus 1183 deaths last 24 hours covid19 covid covidisairborne covaxin covid19 covid covidiots covid19india coronavirusindia coronacurfew corona worldometer covishield
1.36887e+18,3,rachelnotley govcanhealth cphocanada congrats amazing scientists created coronavirus vaccines end pandemic science scientists pfizer moderna astrazeneca janssen cdnpoli
1.382e+18,2,covishield vs covaxin vs modernapfizer  science behind covid19 vaccines careers vaccineresearch imsandipan pavansomwanshi1 sanjibchat biomedicalzone iambiotech fiercebiotech sciencenatty teamstoodnt
1.3829e+18,2,ethealthworld haffkine institute gets nod produce covaxin covaxin covidvaccine haffkineinstitute bharatbiotech production
1.38379e+18,3,cbcalerts embarrassing crimea russia everything open business usual ontario reporting 4250 cases covid19 1392 new cases toronto lockdown closed business church family hope mentalhealth canada get syria sputnikv 916 effe
1.37773e+18,2,officially moderna gay
1.38238e+18,3,breaking serbia starts sputnikv production rdif amp institute virology vaccines sera torlak join forces bring sputnik v vaccines world
1.36745e+18,3,good day yesterday 90 year old dad got second moderna shot relief
1.34705e+18,3,got pfizerbiontech vaccine
1.38205e+18,2,abusing atmanirbhar bharat political tool forced us import vaccines 2020 great government peddled warped concept stop approved foreign vaccines sold india promoting exporting covaxin completing clinical trials
1.36735e+18,3,its 10 hrs since received 2nd dose moderna feel fine im next two days back work saturday hydrate vitaminc rest selfcare mindfulness wellbeing drinkwater mywhy covid19vaccination igotmyshot
1.38155e+18,3,sanket sputnikv 91 efficiency far ahead covishield covaxin
1.38217e+18,3,one go firstdosedone moderna thankful sutterhealth sccgov
1.38287e+18,2,got second dose moderna vaccine yesterday far side effect pretty bad manageable soreness injected arm
1.37334e+18,3,got 2nd moderna shot mom amp grandma got johnsonandjohnson amp pfizer 3 deathly allergies zero allergic adverse reactions dont let allergies stop getting covid19vaccine
1.3676e+18,2,especially lack data johnsonandjohnson vaccine efficacy specifically b117 variant fueling current surge precedent granting eua final data phase 3 available sputnikv covaxin aslavitt46 usfda
1.34989e+18,3,happened covidvaccine pfizerbiontech igotmyvaccineatuhn uhn
1.38245e+18,2,got first dose moderna vaccine im sure its working jeff bezos hasnt sent check thing sarcasm getvaccinated moderna covid19vaccine
1.38317e+18,2,tricares gotyour6 safety family top priority april 19 pfizer moderna vaccine appointments open eligible authorized receive vaccine deptofdefense sites visit covidvaccine
1.38189e+18,2,russias covid vaccine sputnik v cleared emergency use drugs controller general india sputnikv covid19 russia india emergency emergencymedicine
1.38408e+18,3,catcheronthesly let us change goal post related cong mms yes like covaxin given emergency approval sputnikv maybe others allowed people pay get vacci
1.38158e+18,2,sputnikv gets approval within 2 days rahulgandhis suggestion fast tracking approval vaccines per norms mocking rahulgandhi modi govt exactly suggested resignation prasad apologise resign
1.37448e+18,3,got first vaccine moderna mahalo hawaiidoh running smooth clinic kona covidvaccine
1.37497e+18,2,sinovac vaccine 22 provinces bangkokpostnews thailand
1.35945e+18,2,mediafocus hungary set receive first shipment chinese coronavirus jab sinopharm end month dailymail reported vaccine china
1.33918e+18,3,starting today new chapter begins hospital maimonidesmc filled hopes end dark covid times amp joy celebrating life covidvaccine pfizerbiontech mrnavaccine covidends
1.38155e+18,2,dcgi decide sec recommendation sputnikv dr reddys collaborated russias sovereign fund rdif conducted bridge trial sputnik v applied emergency use approved dcgi third vaccine available india
1.38381e+18,3,researchers said risk cerebral venous thrombosis covid approximately 10 times higher compared messenger rna vaccines 8 times higher compared oxfordastrazeneca vaccine
1.36753e+18,2,well decide first country send leftover uk oxfordastrazeneca vaccines good friends australia allies 5 eyes family ties
1.38214e+18,3,got second moderna covid19 shot empty thursday opens everyone go getvaccinated covidvaccine covid19vaccination its everybodys turn
1.38389e+18,2,guy got first dose moderna vaccine today halfway closer getting back lawrence moderna sleeveupjoco
1.38299e+18,2,anticovid19 update india becomes 60th country authorise use sputnikvaccine india set produce 50 mln doses vaccine per month summer serbia starts sputnikv production staysafe stopcovid19
1.38432e+18,2,lindainlight normanswan astrazenica substantially lower efficacy pfizer moderna blood clot deaths rare across age groups vaccinated including aged 55
1.37136e+18,3,astrazeneca vaccine causing blood clots nonsense mother shot two weeks ago got headache fatigue right rein covidvaccine oxfordastrazeneca
1.37499e+18,2,global covid19 cases surpassed 124 million 27 million deaths us remains worsthit nation cases topped 30 million zimbabwean president emmerson mnangagwa received first shot chinas sinovac vaccine
1.38292e+18,2,modi government go ahead production covaxin maharashtra govt bharatbiotech vaccine said company produce also take time
1.37665e+18,3,news got first dose modern covid19 vaccination tiny needle didnt feel thing im feeling absolutely fine afterwards take evil little bastard moderna covid19vaccine
1.37862e+18,2,govt pushed corner ban russian sputnikv vaccine ke amp accept uk astrazenaca little know master issue threats ke allow vaccines sold ke amp end colonial monopoly uk kenyavsuk nanyuki kibaki
1.37291e+18,3,first dose affect moderna covid19vaccine
1.36544e+18,2,fwiw ill go 2 shots either pfizer moderna jampj isnt effective one shot better efficacy worth go two rounds shots covid19vaccine
1.35851e+18,3,got first jab yesterday joined 12 million amazing organisation local gp covid19 vaccine vaccination astrazeneca oxfordastrazeneca
1.37192e+18,2,got first moderna shot yesterday ask went moderna vaccine
1.37039e+18,2,covid19 vaccine access protest yesterday outside moderna kendall square
1.37734e+18,2,bet would love worst case scenario pfizerbiontech
1.37358e+18,2,aaiclasin team guidance kekugazder amp close coordination amp support mocagoi working relentlessly towards vaccinedelivery since jan 13 dcgi gave emergency use authorization covishield amp covaxin tune tmrw 2pm cet itw mr gazder
1.36966e+18,2,goodmorning tweeps woke feeling well morning im beginning wonder moderna vaccine also fights longcovid symptoms still absolutely crash around 4pm something going also woke fantain head
1.37323e+18,2,pakistan using sinopharm process 1st dose person wait 21 days get 2nd dose 2nd dose wait 14 days vaccine make antibodies person get covid even vaccination vaccination mean get coronavirus
